iter	Passed	Remaining
0	24	24409
1	47	23755
2	67	22469
3	94	23604
4	116	23129
5	147	24401
6	171	24386
7	194	24090
8	217	23907
9	240	23801
10	263	23651
11	287	23671
12	312	23698
13	335	23658
14	362	23825
15	383	23575
16	407	23587
17	427	23345
18	454	23459
19	478	23451
20	502	23446
21	531	23619
22	558	23707
23	584	23753
24	608	23720
25	631	23648
26	654	23597
27	678	23537
28	701	23484
29	723	23377
30	740	23137
31	771	23322
32	795	23303
33	819	23275
34	842	23231
35	866	23210
36	890	23166
37	918	23262
38	946	23319
39	971	23315
40	1001	23431
41	1022	23312
42	1048	23335
43	1069	23233
44	1088	23099
45	1110	23029
46	1132	22964
47	1154	22897
48	1178	22874
49	1196	22742
50	1224	22793
51	1249	22787
52	1275	22798
53	1291	22625
54	1312	22549
55	1337	22549
56	1367	22629
57	1393	22626
58	1420	22659
59	1446	22665
60	1468	22603661	1503	22741662	1533	22815663	1560	22822664	1585	22807665	1611	22800666	1639	22827667	1669	22883668	1692	22841669	1716	2280470	1790	23421
71	1818	23432
72	1838	23341
73	1859	23273
74	1888	23292
75	1911	23234
76	1932	23160
77	1959	23158
78	1980	23093
79	2004	23054
80	2025	22976
881	2003	22431882	2023	22356883	2046	22315884	2065	22237885	2088	22198886	2112	22170887	2145	22235888	2173	22248889	2195	22199990	2222	22204
91	2248	22196
92	2268	22126993	2291	22082994	2317	22079995	2338	22023996	2358	21952997	2383	21942998	2404	2188599	2469	22225
1100	2450	218081101	2483	218641102	2510	21865
103	2532	21816
104	2556	21794
105	2581	21772
106	2603	21731
107	2628	21712
108	2649	21656
109	2669	215951110	2691	215581111	2710	214871112	2731	214441113	2757	214281114	2779	213931115	2803	213611116	2828	213471117	2853	21328118	2894	21432
119	2920	21420
120	2944	21388
121	2966	21346
122	2992	21338
1123	3001	21205124	3040	21282
125	3069	21288
126	3090	21244
127	3119	21249
128	3144	21233
129	3174	21241
130	3202	21245
131	3226	21218
132	3252	21201
133	3293	21282
134	3323	21294
135	3345	21255
136	3378	21282
137	3401	21248
138	3424	21212
139	3450	21195
140	3480	21205
141	3507	21193
142	3532	21172
143	3556	21138
144	3581	21119
145	3600	21059
146	3623	21027
147	3643	20975
148	3672	20976
149	3702	20982
150	3734	20999
151	3770	21034
152	3796	21019
153	3826	21023
154	3847	20974
155	3874	20963
156	3900	20945
157	3924	20912
158	3944	20861
159	3969	20839
160	3988	20784
161	4001	20698
162	4021	20648
163	4043	20610
164	4065	20572
165	4091	20555
166	4112	20512
167	4137	20492
168	4162	20465
169	4181	20414
170	4197	20346
171	4220	20319
172	4252	20326
173	4275	20297
174	4300	20274
175	4325	20253
176	4351	20233
177	4374	20203
178	4395	20162
179	4416	20121
180	4440	20094
181	4474	20111
182	4506	20120
183	4531	20096
184	4551	20051
185	4574	20018
186	4594	19974
187	4620	19956
188	4648	19945
189	4672	19917
190	4695	19888
191	4725	19886
192	4753	19874
193	4782	19870
194	4807	19844
195	4830	19816
196	4857	19799
197	4873	19741
198	4900	19723
199	4924	19698
200	4952	19687
201	4976	19661
202	5000	19633
203	5023	19602
204	5052	19592
205	5081	19585
206	5101	19541
207	5126	19521
208	5152	19499
209	5171	19455
210	5193	19421
211	5218	19397
212	5237	19352
213	5259	19317
214	5282	19288
215	5303	19248
216	5319	19194
2217	5430	194812218	5460	194742219	5480	194312220	5498	193812221	5525	193642222	5547	193292223	5569	192222224	5594	192692225	5619	192432226	5645	192252227	5674	19212228	5607	18880
229	5632	18857
230	5654	18823
2231	5771	19105232	5747	18919
2233	5820	190522234	5846	190332235	5876	190242236	5902	190012237	5924	189692238	5949	189432239	5973	189152240	5991	188692241	6020	188582242	6039	188132243	6069	188052244	6091	187702245	6117	18749246	6094	18580
2247	6166	186972248	6193	186792249	6213	186392250	6237	186112251	6256	18571252	6233	18405
253	6259	18383
2254	6329	184912255	6354	184692256	6384	184562257	6408	18429258	6342	18144
259	6378	18155
260	6401	18124
261	6422	18091
262	6455	18090
263	6473	18046
264	6496	18018
265	6519	17988
266	6549	17981
267	6572	17952
268	6596	17925
269	6628	17920
270	6663	17925
271	6690	17908
272	6712	17876
273	6734	17845
274	6754	17806
275	6780	17786
276	6798	17744
277	6825	17726
278	6855	17716
279	6878	17687
280	6901	17658
281	6929	17642
282	6954	17619
283	6981	17602
284	7005	17575
285	7025	17538
286	7045	17502
287	7065	17467
288	7092	17449
289	7116	17423
290	7141	17398
291	7164	17372
292	7186	17340
293	7215	17326
294	7234	17288
295	7248	17238
2296	7377	174622297	7402	174382298	7424	174052299	7449	173833300	7476	173633301	7503	173423302	7524	17309303	7448	17052
304	7476	17037
305	7500	17011
306	7524	16985
307	7550	16963
308	7573	16935
309	7594	16904
310	7615	16872
3311	7746	17082312	7655	16801
3313	7789	17017314	7702	167431315	7728	16729
316	7749	16697
3317	7881	16903318	7796	16643
319	7827	16633
320	7850	16606
3321	7985	16814322	7899	16556
323	7924	16534
324	7946	16503
325	7969	16477
326	7998	16461
3327	8137	16672328	8055	16428
329	8074	16393
3330	8218	166093331	8237	16574332	8160	16345
3333	8305	165613334	8336	165483335	8366	16534336	8282	16294
337	8299	16255
338	8321	16226
339	8344	16197
3340	8492	164133341	8521	163943342	8540	163593343	8571	163443344	8597	163223345	8636	16324
346	8659	16295
347	8689	16280
348	8709	16246
349	8730	162133350	8749	161773351	8769	161443352	8800	161303353	8826	16107
354	8840	160623355	8861	160293356	8891	160153357	8913	159843358	8935	159543359	8960	15929360	8861	15685
3361	9007	158743362	9033	158513363	9058	158273364	9084	158043365	9112	15785
366	9140	15764
367	9157	15726
368	9178	15695
369	9202	15669
370	9234	15655
371	9255	15624
372	9276	155933373	9296	155613374	9320	155333375	9347	15513
376	9372	15487
377	9389	154503378	9422	15439
379	9450	15418
380	9471	15388
381	9504	15376
382	9524	15342
383	9549	15318
384	9574	15294
385	9602	15275
386	9619	15237
387	9649	15220
388	9677	15200
389	9701	15173
390	9722	15143
391	9753	15127
392	9783	15111
393	9818	15102
394	9860	15103
395	9890	15085
396	9919	15066
397	9947	15046
398	9970	15017
399	10005	15008
400	10042	15001
401	10078	14992
402	10100	14963
403	10122	14933
404	10145	14905
405	10164	14871
406	10188	14845
407	10204	14806
408	10226	14777
409	10259	14762
410	10283	14736
411	10309	14713
412	10332	14686
413	10355	14657
414	10373	14623
415	10394	14592
416	10417	14564
417	10435	14530
418	10455	14497
419	10481	14474
420	10499	14439
421	10523	14413
422	10554	14397
423	10583	14377
424	10613	14359
425	10631	14325
426	10655	14298
427	10676	14268
428	10695	14236
429	10719	14209
430	10747	14188
431	10774	14165
432	10794	14135
433	10823	14115
434	10836	14074
435	10860	14049
436	10884	14022
437	10910	13998
